file,brand,model_number,pedals,shell_id,same_shell_rebadges,usb_vid_pid,view,image_status,source_url,notes
olympus_rs-31h.png,Olympus (OM System),RS-31H (also RS-31),4,OLY-RS31,RS-31 (non-H),07B4:xxxx (Olympus; PID unverified),top-down,processed,https://www.tvps.com/olympus-rs-31h-foot-pedal-for-computer-transcription/ol-rs-31h/,"4-pedal: 3 front + full-width rear bar; OLYMPUS molded center. H-version adds HID keyboard mode."
olympus_rs-27h.png,Olympus (OM System),RS-27H (also RS-27),3,OLY-RS27,RS-27,07B4:xxxx (Olympus; PID unverified),top-down,processed,https://www.tvps.com/olympus-rs-27h-147036-pc-foot-pedal-for-transcription/ol-rs-27h/,"3-pedal; OLYMPUS molded into rear bar; dimpled side pedals."
olympus_rs-26.png,Olympus,RS-26,3,OLY-RS26,-,07B4:0202 (confirmed via usb.ids),top-down (perspective-rectified),processed-rectified,https://www.dbpharrison.com/general/hacking-the-olympus-rs26-transcription-footswitch/,"Rectified from slightly angled hobbyist photo; true aspect restored (~1.38). Molded REW / FF / LISTEN, no brand on top - ID from source article. Some softness; replace if product shot found."
philips_acc2330.png,Philips,ACC2330 (shell shared with ACC2310/ACC2320),4,PHI-ACC23X0,"ACC2310 (3-pedal, top bar inactive), ACC2320; Nuance-bundled Philips pedals",0911:xxxx (Philips Speech; PID not in public USB DBs),top-down,processed,https://www.tvps.com/philips-usb-foot-control-acc2330/ph-acc2330-00/,"PHILIPS printed on rear toe bar (4th pedal on 2330). One image serves ACC2310/2320/2330 with different model metadata."
philips_lfh2330.png,Philips,LFH2330 (housing shared with LFH2210/LFH2310/LFH2320),4,PHI-LFH23X0,"LFH2210 (2-switch), LFH2310 (3-switch), LFH2320 (4-switch slim) - same housing per Philips manual",0911:xxxx (Philips Speech; PID not in public USB DBs),top-down,processed,https://www.tvps.com/philips-lfh2330-usb-foot-pedal-for-digital-transcription/ph-lfh2330-00/,"Pre-ACC generation; PHILIPS molded on rear bar. Common thrift find."
generic-shell_in-usb-1_fs-85usb.png,generic shell (ECS/Infinity/Sony),IN-USB-1 / FS-85USB / ECS FS-85USB-SO / FTR USB 1,3,VEC-INUSB1,"Infinity IN-USB-1, Sony FS-85USB kit pedal, ECS variants, ECS FTR USB 1, many serial-era rebadges",05F3:00FF (VEC Footpedal; confirmed via usb.ids),top-down,processed,https://www.tvps.com/ecs-fs-85usb-usb-foot-pedal-for-use-with-sony-digital-voice-editor/ecs-fs-85usb/,"No brand on top - molded FWD / PLAY / REW only, so one image serves all rebadges of this shell."
vpedal_vp-1.png,vPedal,vP-1 (vP-1-001),3,VPD-VP1,vP-4 wireless variant differs,unverified,top-down (perspective-rectified),processed-rectified,https://www.vpedal.com/product/vp-1-usb-pedal-3-switch-2/,"Rectified + straightened from vendor photo; true aspect restored (~1.22). Flat platform + 2 side rails + rear rocker bar."
elgato_stream-deck-pedal.png,Elgato (Corsair),Stream Deck Pedal (10GBF9901),3,ELG-SDPEDAL,-,0FD9:xxxx (Elgato confirmed vendor; pedal PID commonly reported 0086 - unverified),top-down,processed,https://www.elgato.com/us/en/p/stream-deck-pedal,"Modern 3-pedal USB; Elgato logo center pad; springs user-adjustable. Increasingly common secondhand."
(wanted),PCsensor (RDing) / IKKEGOL and many Amazon rebrands,"FS1-P, FS3-P, FS2007, FS2016, FS220/221, FS23, FS2020 family",1-3,PCS-FAMILY,"IKKEGOL, Aihontai, etc. - same molds under many labels",0C45:7403 'Foot Switch' and 0C45:7404 'FS1-P' (confirmed via usb.ids; newer models differ),only 3/4 views found so far,WANTED - top-down photo,https://pcsensor.com/product-category/foot-switch/usb-foot-switch-series-for-pc/,"THE most common cheap USB pedals (eBay/Amazon/thrift). All vendor gallery shots are 3/4 - not rectifiable per rule. Keep hunting or photograph a physical unit."
(wanted),X-keys (P.I. Engineering),Commercial Foot Switch (black/red/green/yellow),1,XKS-COMMERCIAL,Colored variants same mold,pedal itself is 3.5mm plug; USB only via X-keys USB Switch Interface (05F3:0232/0261/0264 per usb.ids),only 3/4 views found,WANTED - top-down photo + user decision (USB-only-as-kit),https://www.x-keys-uk.com/collections/foot-pedals/products/x-keys-commercial-foot-pedal-black,"Borderline for USB rule: switch is passive 3.5mm into a USB interface box. Included per user's expanded scope IF counted as USB kit."
(noted),Cleware GmbH,F4 foot switch,1,CLE-F4,-,0D50:0040 (confirmed via usb.ids),no photo harvested yet,candidate,http://www.linux-usb.org/usb.ids,"German industrial single USB foot switch; occasionally surfaces secondhand."
(rejected),Olympus (OM System),RS-28H (also RS-28 07B4:0218 / RS-26 family),3,OLY-RS28,RS-28 (07B4:0218 confirmed),07B4:0218 (RS-28 confirmed via devicehunt/usb.ids),3/4 angle only found,REJECTED per rule: 3/4 view not rectifiable without fabricating top geometry,https://audiosupport.omsystem.com/en/product/rs28h-usb-foot-switch-with-3-pedals/,"In rejected_angled/ folder. Hunting true top-down replacement."
(rejected),Grundig Business Systems,Digta Foot Control 540 USB (GD-540 / 726004400 / GZT5400),3,GRU-540,Digta 540 plus variants,15D8:xxxx (Grundig; unverified),3/4 angle only found,REJECTED per rule: 3/4 view not rectifiable,https://www.speakit.co.uk/products/grundig-gd-540-usb-foot-control,"In rejected_angled/ folder. Hunting true top-down replacement."
(rejected),Kinesis,Savant Elite2 FP30A (FP30AJ with 4th jack),3,KIN-SE2,SE2 single/dual pedal siblings differ,unverified,3/4 angle only found,REJECTED per rule: 3/4 view not rectifiable,https://askergoworks.com/products/savant-elite-programmable-triple-action-footswitch-usb-from-kinesis,"In rejected_angled/ folder. Hunting true top-down replacement."
(not processed),Start-Stop (HTH Engineering),WAVpedal / Start-Stop Universal Transcription System pedal (SST-11 etc.),3,VEC-INUSB2,Software bundle shipping the VEC Infinity pedal (INFINITY badge),05F3:00FF (VEC Footpedal per usb.ids),n/a,skipped - shell already covered,https://www.startstop.com/start-stop-universal-transcription-system/,"HTH Engineering is a software house, not a pedal maker; their USB bundles ship the VEC Infinity pedal - logo-swap territory. Their PEDAL POWER HDP-2 dual-pedal system is SERIAL - excluded by USB-only rule."
